aircraft_type,altitude_bin,number_struck,number_struck_actual,flight_date,engines,origin_state,flight_phase,wildlife_size,conditions_sky,wildlife_species,pilot_warned,altitude,is_high_altitude,flight_year,flight_month,airport_name_clean,latitude,longitude,elevation_ft,nearest_turbine_km,state_abbr,Station_ID,avg_temp_c,avg_humidity_pct,avg_wind_speed_kmh,avg_visibility_km,total_precip_mm,avg_pressure_hpa,is_migration_season,risk_level,risk_target
Airplane,"(1000, 2000]",Over 100,859,2000-11-23,2.0,New York,Climb,Medium,No Cloud,Unknown bird - medium,False,1500,True,2000,11,LAGUARDIA NY,40.777199,-73.872597,21.0,268.82670826154464,NY,KJFK_New_York,17.3,62.0,16.65,12.75,0.0,1015.35,1,High,2
Airplane,"(1000, 2000]",2 to 10,9,2000-01-20,2.0,Illinois,Approach,Large,No Cloud,Canada goose,False,1700,False,2000,1,CHICAGO O'HARE INTL ARPT,41.9786,-87.9048,680.0,4.16460023622371,IL,KORD_Chicago,14.9,70.5,20.3,15.15,0.0,1015.4,1,High,2
Airplane,"(3000, 5000]",2 to 10,7,2000-02-25,2.0,Illinois,Climb,Medium,Overcast,Unknown bird - medium,False,5000,True,2000,2,CHICAGO O'HARE INTL ARPT,41.9786,-87.9048,680.0,4.16460023622371,IL,KORD_Chicago,20.166666666666668,70.66666666666667,7.399999999999999,12.4,0.0,1007.8666666666668,1,High,2
Airplane,"(10, 30]",2 to 10,3,2000-03-06,2.0,Colorado,Approach,Small,No Cloud,Unknown bird - small,False,20,False,2000,3,ASPEN-PITKIN CO/SARD,39.223202,-106.869003,7820.0,159.8702462092854,CO,KDEN_Denver,14.55,52.0,11.5,11.25,0.0,1022.95,1,High,2
Airplane,"(0, 10]",2 to 10,5,2000-03-11,2.0,Colorado,Approach,Small,No Cloud,Western meadowlark,False,10,False,2000,3,PUEBLO MEMORIAL ARPT,38.289101,-104.497002,4726.0,17.704292706523976,CO,KDEN_Denver,16.45,89.0,15.75,12.55,0.0,1013.35,1,High,2
Airplane,"(0, 10]",2 to 10,5,2000-03-13,2.0,New York,Climb,Medium,No Cloud,Ring-billed gull,True,10,False,2000,3,WESTCHESTER COUNTY ARPT,41.06700134277344,-73.70760345458984,439.0,243.3503200617849,NY,KJFK_New_York,9.35,62.5,11.6,10.25,0.0,1006.05,1,High,2
Airplane,"(1000, 2000]",2 to 10,10,2000-03-15,3.0,New York,Approach,Medium,No Cloud,Unknown bird - medium,False,1300,False,2000,3,LAGUARDIA NY,40.777199,-73.872597,21.0,268.82670826154464,NY,KJFK_New_York,13.7,80.5,4.8,15.3,0.0,1007.6,1,Medium,1
Airplane,"(1000, 2000]",2 to 10,2,2000-05-03,2.0,Illinois,Approach,Small,No Cloud,Unknown bird - small,False,1800,False,2000,5,GREATER PEORIA REGIONAL ARPT,38.812906,-106.120062,7946.0,1287.5633843304047,IL,KORD_Chicago,23.15,81.0,2.4,14.65,0.0,1006.35,1,Low,0
Airplane,"(30, 50]",2 to 10,4,2000-05-13,2.0,New York,Climb,Medium,Some Cloud,Herring gull,False,50,False,2000,5,STEWART INTL AIRPORT,41.85419845581055,-89.08760070800781,770.0,772.6270946133457,NY,KJFK_New_York,6.6,75.0,9.15,15.55,0.0,1013.05,1,High,2
Airplane,"(400, 600]",2 to 10,9,2000-06-12,2.0,Colorado,Approach,Small,No Cloud,Unknown bird - small,False,500,False,2000,6,DENVER INTL AIRPORT,39.52920150756836,-104.65799713134766,6295.0,27.573111187238812,CO,KDEN_Denver,16.1,69.0,12.1,15.05,0.0,1006.6,1,High,2
